,index,name,page_image,title,page_link,cluster_name,cluster_proba
2402,2402,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/3/thumbnail_202x120_9117d90f-ca8f-40bc-b904-ca5bac66af8e.jpg,3화. 룻피(1),https://comic.naver.com/webtoon/detail?titleId=762277&no=3&weekday=sat,9,0.99982435
2403,2403,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/4/thumbnail_202x120_a82445d4-380c-4043-8935-2063dbe326da.jpg,4화. 룻피(2),https://comic.naver.com/webtoon/detail?titleId=762277&no=4&weekday=sat,1,1.0
2404,2404,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/5/thumbnail_202x120_e5df797d-5f83-4d4e-9b2f-2fb5b5b84fb0.jpg,5화. 룻피(3),https://comic.naver.com/webtoon/detail?titleId=762277&no=5&weekday=sat,0,0.9671999
2405,2405,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/6/thumbnail_202x120_2b1fb658-c183-404d-a57c-d00a0a1da0d4.jpg,6화. 엘프(1),https://comic.naver.com/webtoon/detail?titleId=762277&no=6&weekday=sat,16,0.99999917
2406,2406,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/7/thumbnail_202x120_11ae811b-5778-4207-8e28-6640fd74c20d.jpg,7화. 엘프(2),https://comic.naver.com/webtoon/detail?titleId=762277&no=7&weekday=sat,15,0.9999999
2407,2407,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/8/thumbnail_202x120_b43c4471-de1e-4b94-809a-fb9ce12785af.jpg,8화. 엘프(3),https://comic.naver.com/webtoon/detail?titleId=762277&no=8&weekday=sat,2,0.99866104
2408,2408,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/9/thumbnail_202x120_1c201583-da2f-4331-ac1e-14960c30c9ef.jpg,9화. 엘프(4),https://comic.naver.com/webtoon/detail?titleId=762277&no=9&weekday=sat,14,0.8980718
2409,2409,지옥급식,https://shared-comic.pstatic.net/thumb/webtoon/762277/10/thumbnail_202x120_bc2ad569-22b9-44ff-9532-b29b0cd30e36.jpg,10화. 엘프(5),https://comic.naver.com/webtoon/detail?titleId=762277&no=10&weekday=sat,2,1.0
2410,2410,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/1/thumbnail_202x120_79097691-2b08-463c-ba2c-809ce52a4298.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=762279&no=1&weekday=thu,18,0.99999106
2411,2411,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/2/thumbnail_202x120_7b3c0f96-94e9-4061-9bf1-33485366d085.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=762279&no=2&weekday=thu,15,0.90586793
2412,2412,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/3/thumbnail_202x120_4e7642a5-331a-4a0e-ba21-4a8a0674599d.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=762279&no=3&weekday=thu,18,1.0
2413,2413,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/4/thumbnail_202x120_8896c9cc-6b3d-4dd3-9db8-928f3cec0df4.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=762279&no=4&weekday=thu,1,0.913833
2414,2414,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/5/thumbnail_202x120_89599362-ef49-411e-8f33-2201805c025c.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=762279&no=5&weekday=thu,5,0.98784465
2415,2415,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/6/thumbnail_202x120_c7f80e5e-f21a-4739-9f91-7f63396d6218.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=762279&no=6&weekday=thu,2,0.5400114
2416,2416,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/7/thumbnail_202x120_7fee8658-cc14-410b-a098-dc9450bad725.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=762279&no=7&weekday=thu,18,0.99375904
2417,2417,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/8/thumbnail_202x120_094c7a3d-f314-48c7-9bce-00dd405badbb.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=762279&no=8&weekday=thu,7,0.9999678
2418,2418,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/9/thumbnail_202x120_ea6d68fc-35f9-4710-94d5-d80c563ad569.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=762279&no=9&weekday=thu,2,1.0
2419,2419,정글쥬스,https://shared-comic.pstatic.net/thumb/webtoon/762279/10/thumbnail_202x120_cdcd165b-6944-41c8-8ed9-b2652fff28ba.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=762279&no=10&weekday=thu,2,1.0
2420,2420,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/1/thumbnail_202x120_abbf3cdd-3d82-42d1-b30d-3a2a5501ffff.jpg,"1화, 입하 (1)",https://comic.naver.com/webtoon/detail?titleId=762777&no=1&weekday=fri,15,1.0
2421,2421,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/2/thumbnail_202x120_865fcfbc-927d-42f0-8457-be606773deae.jpg,"2화, 입하 (2)",https://comic.naver.com/webtoon/detail?titleId=762777&no=2&weekday=fri,10,0.99436694
2422,2422,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/3/thumbnail_202x120_95c3a6f6-317c-4790-b9c2-3e234f047d36.jpg,"3화, 입하 (3)",https://comic.naver.com/webtoon/detail?titleId=762777&no=3&weekday=fri,7,0.89367497
2423,2423,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/4/thumbnail_202x120_19b6f2bd-a4a5-4f28-b9b7-cd4d676390fb.jpg,"4화, 입하 (4)",https://comic.naver.com/webtoon/detail?titleId=762777&no=4&weekday=fri,4,1.0
2424,2424,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/5/thumbnail_202x120_e6f15562-004e-4363-8622-281eddde4a7e.jpg,"5화, 소만 (1)",https://comic.naver.com/webtoon/detail?titleId=762777&no=5&weekday=fri,18,0.8498232
2425,2425,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/6/thumbnail_202x120_8c2da188-4745-4c30-b672-08a1a7107729.jpg,"6화, 소만 (2)",https://comic.naver.com/webtoon/detail?titleId=762777&no=6&weekday=fri,9,1.0
2426,2426,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/7/thumbnail_202x120_50454a55-4a10-4363-939c-f5636dfa274a.jpg,"7화, 소만 (3)",https://comic.naver.com/webtoon/detail?titleId=762777&no=7&weekday=fri,3,0.99775594
2427,2427,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/8/thumbnail_202x120_ba3362cb-8f23-433c-b511-20f5af8d5196.jpg,"8화, 소만 (4)",https://comic.naver.com/webtoon/detail?titleId=762777&no=8&weekday=fri,2,1.0
2428,2428,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/9/thumbnail_202x120_18411680-9727-4c16-a12d-4a3490302c44.jpg,"9화, 소만 (5)",https://comic.naver.com/webtoon/detail?titleId=762777&no=9&weekday=fri,5,0.6196339
2429,2429,강림전기 개정기,https://shared-comic.pstatic.net/thumb/webtoon/762777/10/thumbnail_202x120_31f50b26-8ee1-46da-a5ad-46ea4a824f3b.jpg,"10화, 망종 (1)",https://comic.naver.com/webtoon/detail?titleId=762777&no=10&weekday=fri,2,1.0
2430,2430,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/1/thumbnail_202x120_08d0e088-a36f-4fd4-822a-c84f15b50c83.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=762781&no=1&weekday=thu,1,0.9999995
2431,2431,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/2/thumbnail_202x120_234f6c4a-9ba4-407e-973f-1a21ff3db2f8.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=762781&no=2&weekday=thu,6,1.0
2432,2432,성스러운 아이돌,https://shared-comic.pstatic.net/thumb/webtoon/762781/3/thumbnail_202x120_89947c2e-59d4-42a5-99db-c5df94ccb3c1.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=762781&no=3&weekday=thu,6,0.9999995
